rok,miesiac,dzien,max_temp,min_temp,sr_temp,min_temp_grunt,suma_opad,rodz_opad,sr_zachm,sr_predk_wiatr,sr_cisn,sr_wilg,sr_cisn_stacja,sr_cisn_morze,opad_dzien,opad_noc
2011,1,1,2.3,-2.1,0.9,-3.3,0.1,S,7.1,6.9,5.7,86.8,992.2,1005.5,0.1,0.0
2011,1,2,1.7,-1.8,-1.1,-2.9,1.2,S,7.4,5.6,4.8,85.3,997.0,1010.4,0.8,0.4
2011,1,3,-1.5,-3.6,-2.9,-4.9,0.3,S,7.3,3.8,4.5,90.1,1004.0,1017.6,0.3,0.0
2011,1,4,-2.0,-5.1,-4.6,-6.0,0.0,S,6.0,2.1,3.7,84.0,1007.3,1021.0,0.0,0.0
2011,1,5,-3.5,-12.4,-8.3,-15.5,0.0,,6.3,1.6,2.9,88.5,1007.8,1021.7,0.0,0.0
2011,1,6,-0.2,-11.7,-5.4,-13.6,1.8,S,4.6,3.6,3.4,80.5,1000.7,1014.4,0.0,1.8
2011,1,7,5.7,-0.2,3.2,-0.9,0.0,W,7.6,2.9,6.8,87.9,999.3,1012.6,0.0,0.0
2011,1,8,4.8,1.7,3.1,0.4,0.6,W,7.5,2.3,7.1,93.6,1000.9,1014.2,0.6,0.0
2011,1,9,4.2,1.1,2.6,-0.4,0.0,W,5.8,1.8,7.2,98.3,1001.1,1014.4,0.0,0.0
2011,1,10,4.0,-1.2,1.4,-4.5,1.6,W,7.0,1.5,6.6,98.1,1008.9,1022.3,1.6,0.0
2011,1,11,1.4,-1.3,0.4,-2.4,0.0,W,8.0,4.0,6.2,97.6,1006.0,1019.4,0.0,0.0
2011,1,12,4.0,1.3,2.1,0.6,0.8,S,7.5,2.9,6.5,91.3,999.0,1012.3,0.8,0.0
2011,1,13,2.5,0.7,1.4,-0.3,0.8,W,7.8,1.8,6.4,94.5,997.4,1010.7,0.2,0.6
2011,1,14,5.0,0.8,2.7,0.3,12.8,W,8.0,1.4,7.5,99.6,996.9,1010.2,1.0,11.8
2011,1,15,8.0,2.7,5.5,2.0,7.0,W,7.9,5.4,9.0,98.5,999.7,1012.8,7.0,0.0
2011,1,16,7.2,2.6,4.9,2.0,0.0,W,7.4,1.3,8.3,95.1,1011.4,1024.7,0.0,0.0
2011,1,17,8.6,6.1,7.0,5.3,0.0,,7.0,1.3,8.6,86.0,1011.2,1024.4,0.0,0.0
2011,1,18,7.1,0.7,3.5,-2.2,0.2,W,6.0,2.1,7.5,95.4,1007.6,1020.9,0.0,0.2
2011,1,19,6.3,0.7,2.2,0.3,2.9,S,7.5,2.0,6.6,91.4,1008.4,1021.8,0.0,2.9
2011,1,20,0.7,-0.7,-0.2,-1.4,1.8,S,7.5,2.0,5.9,97.3,1009.3,1022.8,0.9,0.9
2011,1,21,-0.4,-1.4,-1.1,-1.8,1.4,S,7.9,4.0,5.5,97.5,1013.0,1026.7,1.4,0.0
2011,1,22,-0.6,-3.3,-1.5,-5.7,1.7,S,7.4,3.1,5.0,91.9,1013.6,1027.3,0.2,1.5
2011,1,23,-0.4,-2.0,-1.4,-2.8,1.7,S,7.4,5.1,5.0,91.0,1004.2,1017.7,1.5,0.2
2011,1,24,-1.9,-6.9,-4.8,-14.6,0.4,S,6.3,1.6,3.9,91.4,1006.5,1020.2,0.4,0.0
2011,1,25,-1.7,-8.2,-4.1,-10.9,1.3,S,6.8,2.5,4.2,89.9,996.7,1010.3,1.3,0.0
2011,1,26,3.3,-2.4,-0.4,-2.8,0.2,S,7.3,0.8,5.4,91.4,993.9,1007.3,0.0,0.2
2011,1,27,0.1,-3.2,-1.5,-5.3,0.0,S,7.3,2.4,5.2,94.1,1005.0,1018.5,0.0,0.0
2011,1,28,-2.2,-6.7,-5.7,-6.8,0.0,,8.0,1.8,3.6,90.0,1015.8,1029.7,0.0,0.0
2011,1,29,-5.6,-9.6,-7.8,-12.7,0.0,S,5.8,0.9,3.3,96.0,1011.6,1025.5,0.0,0.0
2011,1,30,-1.9,-11.7,-3.7,-14.4,0.0,S,6.8,4.1,4.4,94.6,1007.3,1020.9,0.0,0.0
2011,1,31,-2.1,-4.9,-3.5,-6.5,0.0,,7.9,1.9,4.5,94.3,1012.1,1025.8,0.0,0.0
2011,2,1,-3.9,-6.2,-5.1,-6.3,0.0,S,8.0,3.6,3.9,92.8,1010.0,1023.8,0.0,0.0
2011,2,2,-0.8,-5.9,-3.1,-6.0,0.3,S,8.0,4.6,4.7,95.1,1008.8,1022.5,0.0,0.3
